"IDCNTRY","Var","Min","FirstQ","Median","Mean","ThirdQ","Max","NACount","n"
"Abu Dhabi, UAE","en11madz","0","0",0,0.332504661280298,0,41,2481,3980
"Dubai, UAE","en11madz","0","0",0,0.332504661280298,0,41,2481,7471
