"IDCNTRY","YVar","EqVar","n0","nUsed","coef","se","t","dof","pVal","r2"
"Abu Dhabi, UAE","en11mitem","(Intercept)",3980,1555,19.1091642544914,0.0886475461035667,215.563375349005,"93.7166420043692",0,0.00312012562307116
"Abu Dhabi, UAE","en11mitem","en11madz_d_clicked1",3980,1555,-0.307305676138368,0.144601490593068,-2.12519023751406,"76.4038445645593",0.0368031376082989,0.00312012562307116
"Abu Dhabi, UAE","en11ritem","(Intercept)",3980,1546,15.5720651228999,0.0542087673706747,287.261007364722,"69.5271328354999",0,0.000312399611165396
"Abu Dhabi, UAE","en11ritem","en11radz_d_clicked1",3980,1546,-0.0840144160826129,0.147732046448448,-0.568694593369289,"50.0430970928936",0.572106881566614,0.000312399611165396
"Abu Dhabi, UAE","en11bitem","(Intercept)",3980,1572,16.2895757685381,0.068969815308288,236.184129183548,"66.6192326087512",0,0.000273202510302284
"Abu Dhabi, UAE","en11bitem","en11badz_d_clicked1",3980,1572,-0.0735129637502906,0.11061866688625,-0.664562011273237,"102.279648135081",0.507826229190683,0.000273202510302284
"Abu Dhabi, UAE","en11zitem","(Intercept)",3980,1564,19.2264233647495,0.0892653295295981,215.385116103498,"48.3213383179956",0,0.002036728167256
"Abu Dhabi, UAE","en11zitem","en11zadz_d_clicked1",3980,1564,-0.243008778102074,0.175241398781217,-1.38670873316562,"38.1513552715322",0.173580562037693,0.002036728167256
"Abu Dhabi, UAE","en11titem","(Intercept)",3980,1573,17.3442361283693,0.0858346218763419,202.065736986135,"51.2609562406312",0,0.00469211473412219
"Abu Dhabi, UAE","en11titem","en11tadz_d_clicked1",3980,1573,-0.378419943074965,0.178507849674837,-2.11990645657477,"37.0086436079375",0.0407822925450701,0.00469211473412219
"Dubai, UAE","en11mitem","(Intercept)",7521,2963,19.5509458859684,0.0322411379325359,606.397513849496,"102.742637542349",0,0.00450466730773527
"Dubai, UAE","en11mitem","en11madz_d_clicked1",7521,2963,-0.328686631051264,0.102765296447863,-3.19842050198355,"84.7842028220091",0.00194362271817291,0.00450466730773527
"Dubai, UAE","en11ritem","(Intercept)",7521,2998,15.8195068196304,0.0204390537735478,773.984304503568,"59.6554851085406",0,0.000165084324748125
"Dubai, UAE","en11ritem","en11radz_d_clicked1",7521,2998,-0.0451220537032123,0.0586820294209447,-0.768924560865773,"32.1449483779389",0.447551198497,0.000165084324748125
"Dubai, UAE","en11bitem","(Intercept)",7521,2959,16.7190441643807,0.0229243888894351,729.312534568186,"33.4316920526081",0,0.0192424991646561
"Dubai, UAE","en11bitem","en11badz_d_clicked1",7521,2959,-0.543011261271217,0.142418921534842,-3.81277470310273,"44.6066437607771",0.000418847948435505,0.0192424991646561
"Dubai, UAE","en11zitem","(Intercept)",7521,2973,19.651669875758,0.0233659102378698,841.040202401701,"82.5592687504618",0,5.05908311758127e-05
"Dubai, UAE","en11zitem","en11zadz_d_clicked1",7521,2973,0.0320412053248289,0.0659973439854621,0.485492345447826,"90.2358394747918",0.62850386054643,5.05908311758127e-05
"Dubai, UAE","en11titem","(Intercept)",7521,2981,17.7368728702853,0.0307573724976263,576.670613579041,"37.1755460568363",0,0.00230840538064013
"Dubai, UAE","en11titem","en11tadz_d_clicked1",7521,2981,-0.245101782745412,0.118677308847952,-2.06527924440411,"29.2312805564735",0.0478642415571387,0.00230840538064013
