"IDCNTRY","YVar","EqVar","n0","nUsed","coef","se","t","dof","pVal","r2"
"Chinese Taipei","erea","(Intercept)",4299,4298,552.572005124439,2.67057775423017,206.911034231889,118.01415930473,0,0.0117620235997543
"Chinese Taipei","erea","en11Totaltiml_seconds_quickhalf1",4299,4298,-14.3447664255147,3.29411851630506,-4.35466008721658,152.488309484694,2.43394229622279e-05,0.0117620235997543
"Chinese Taipei","erea","(Intercept)",4299,4298,549.21672869917,2.60125876304863,211.13498453168,109.917168682273,0,0.00313579862056401
"Chinese Taipei","erea","en11Totaltimr_seconds_quickhalf1",4299,4298,-7.37406447161197,3.18453404233763,-2.31558663640442,144.800079924305,0.0219851977271815,0.00313579862056401
"United States","erea","(Intercept)",4090,4018,554.264142616802,2.99764704118745,184.899734692328,111.969781542006,0,0.00202561866593888
"United States","erea","en11Totaltims_seconds_quickhalf1",4090,4018,6.56277804210973,2.87668548933104,2.2813679376663,152.879324214743,0.0239073371710568,0.00202561866593888
"United States","erea","(Intercept)",4090,4016,555.022230339629,2.98658000528634,185.838728363955,117.149899398168,0,0.00123039170644025
"United States","erea","en11Totaltiml_seconds_quickhalf1",4090,4016,5.09737749313437,2.93232371315308,1.73834064440766,130.700148412823,0.0845058063693531,0.00123039170644025
"United States","erea","(Intercept)",4090,4016,564.095256642487,2.86981611277707,196.561464036322,86.1277420173241,0,0.00772786227601292
"United States","erea","en11Totaltimr_seconds_quickhalf1",4090,4016,-12.8328669920967,2.88566751660238,-4.44710519083163,138.742713858914,1.76951772397863e-05,0.00772786227601292
