"IDCNTRY","YVar","EqVar","EqVarValue","N","WTD_N","PCT","SE_PCT","MEAN","SE_MEAN","n0","nUsed"
"Denmark","erea","en11radz_d_clicked","0",954,21111.04547,96.4797650818871,0.527251842875492,559.589532695777,"2.39221020729463",2506,991
"Denmark","erea","en11radz_d_clicked","1",37,770.273842999999,3.52023491811286,0.527251842875485,560.213930578183,"11.6903148245331",2506,991
"Denmark","erea","en11badz_d_clicked","0",925,20350.422956,93.0150623578255,0.836917380278804,561.823376563224,"2.84499063876991",2506,994
"Denmark","erea","en11badz_d_clicked","1",69,1528.208784,6.98493764217451,0.836917380278797,526.514565389961,"10.8424800090324",2506,994
"Denmark","erea","en11zadz_d_clicked","0",966,21173.241092,96.1291798318978,0.796692165727503,562.413342980825,"3.10716723035384",2506,1001
"Denmark","erea","en11zadz_d_clicked","1",35,852.579921999999,3.87082016810218,0.796692165727498,536.814222390448,"12.6343677524608",2506,1001
"Denmark","erea","en11tadz_d_clicked","0",967,21461.961655,95.4331609563811,0.684103650493656,555.89687406029,"3.42548483730983",2506,1015
"Denmark","erea","en11tadz_d_clicked","1",48,1027.036341,4.5668390436189,0.684103650493657,538.424665031124,"9.53852895765965",2506,1015
"Georgia","erea","en11madz_d_clicked","0",1988,15065.824627,90.6464356322019,0.990613068023477,479.537464308224,"3.44142648359557",5557,2198
"Georgia","erea","en11madz_d_clicked","1",210,1554.602334,9.35356436779807,0.990613068023475,439.469675361536,"11.4025469430514",5557,2198
"Georgia","erea","en11radz_d_clicked","0",2017,15203.397258,90.277308266328,1.10359514687712,479.725746090962,"3.37468912021004",5557,2199
"Georgia","erea","en11radz_d_clicked","1",182,1637.37652,9.72269173367195,1.10359514687713,441.076695942406,"9.19240914246753",5557,2199
"Georgia","erea","en11badz_d_clicked","0",1925,14892.622652,88.5559179150823,0.942764666764358,486.516993747692,"3.79962195433177",5557,2197
"Georgia","erea","en11badz_d_clicked","1",272,1924.573762,11.4440820849177,0.942764666764366,429.444184848883,"9.62243477883031",5557,2197
"Georgia","erea","en11zadz_d_clicked","0",1992,14869.945844,89.7171529033456,0.919033461202374,479.880498505519,"3.096756106538",5557,2232
"Georgia","erea","en11zadz_d_clicked","1",240,1704.304857,10.2828470966544,0.919033461202375,438.515632223503,"7.52102864837904",5557,2232
"Georgia","erea","en11tadz_d_clicked","0",2009,15257.01298,91.3110618431718,0.767737105193082,480.697757711337,"3.56153790831148",5557,2212
"Georgia","erea","en11tadz_d_clicked","1",203,1451.82018,8.68893815682818,0.767737105193085,442.476171869107,"9.3922473774228",5557,2212
