"IDCNTRY","YVar","EqVar","EqVar1Value","EqVar2Value","N","WTD_N","PCT","SE_PCT","MEAN","SE_MEAN","n0","nUsed"
"Norway (5th Grade)","erea","adClickTotal_d_clicked + itsex","1","GIRL",163,2527.135077,37.2994395051128,2.46262168360166,563.520774469744,"6.40791683659457",3610,3597
"Norway (5th Grade)","erea","adClickTotal_d_clicked + itsex","1","BOY",273,4248.127797,62.7005604948872,2.46262168360166,553.99376982753,"5.7496157969339",3610,3597
"Portugal","erea","adClickTotal_d_clicked + itsex","0","GIRL",2081,42601.9602799999,51.2095473519506,0.887672549952704,526.229173813122,"2.53683656140452",4558,4558
"Portugal","erea","adClickTotal_d_clicked + itsex","0","BOY",1996,40589.480541,48.7904526480493,0.8876725499527,527.381569536634,"2.698703935769",4558,4558
"Portugal","erea","adClickTotal_d_clicked + itsex","1","GIRL",170,3456.87612,34.2554424392142,2.49808063962283,493.296181491556,"6.12672029292477",4558,4558
"Portugal","erea","adClickTotal_d_clicked + itsex","1","BOY",311,6634.58927599999,65.7445575607858,2.49808063962283,482.308683847582,"5.3603754457596",4558,4558
"Singapore","erea","adClickTotal_d_clicked + itsex","0","GIRL",2870,17541.775864,52.2261412718145,0.679626884503857,598.376583933951,"3.14855410904859",6320,6320
"Singapore","erea","adClickTotal_d_clicked + itsex","0","BOY",2566,16046.338128,47.7738587281855,0.679626884503858,577.645103347956,"3.38502062378896",6320,6320
"Singapore","erea","adClickTotal_d_clicked + itsex","1","GIRL",290,1808.337156,32.6480461017018,1.83697113096328,602.64843659098,"7.49332121630417",6320,6320
"Singapore","erea","adClickTotal_d_clicked + itsex","1","BOY",594,3730.546091,67.3519538982982,1.83697113096327,577.999802791086,"5.31149769602917",6320,6320
"Slovenia","erea","adClickTotal_d_clicked + itsex","0","GIRL",1989,8951.37448699999,50.2834895234951,0.901999913392858,533.24001776511,"2.72358984683032",4303,4303
"Slovenia","erea","adClickTotal_d_clicked + itsex","0","BOY",1941,8850.44191799999,49.7165104765049,0.901999913392849,519.536079051037,"2.64689138988239",4303,4303
"Slovenia","erea","adClickTotal_d_clicked + itsex","1","GIRL",162,730.734113999999,43.0141464627379,2.63749168761216,516.005002421053,"6.39001138298183",4303,4303
"Slovenia","erea","adClickTotal_d_clicked + itsex","1","BOY",211,968.088654999999,56.9858535372621,2.63749168761217,505.746561811282,"7.17069086941653",4303,4303
"Sweden","erea","adClickTotal_d_clicked + itsex","0","GIRL",1839,48442.1716329999,49.5366570897721,1.11912449943817,567.318856015451,"2.561041871181",3879,3879
"Sweden","erea","adClickTotal_d_clicked + itsex","0","BOY",1767,49348.3828349999,50.4633429102279,1.11912449943817,553.73128437353,"2.64623702016832",3879,3879
"Sweden","erea","adClickTotal_d_clicked + itsex","1","GIRL",104,2580.357987,36.7192297085792,3.51804106519204,554.410978983072,"9.89765662264638",3879,3879
"Sweden","erea","adClickTotal_d_clicked + itsex","1","BOY",169,4446.908128,63.2807702914208,3.51804106519204,534.309936717887,"8.30131551691198",3879,3879
"Chinese Taipei","erea","adClickTotal_d_clicked + itsex","0","GIRL",1661,76843.0736169999,53.7820849041868,0.956202347557692,553.224869664666,"2.4014848927953",4299,4299
"Chinese Taipei","erea","adClickTotal_d_clicked + itsex","0","BOY",1470,66035.4959919999,46.2179150958132,0.956202347557695,545.482805322971,"2.31353483385911",4299,4299
"Chinese Taipei","erea","adClickTotal_d_clicked + itsex","1","GIRL",385,18178.773761,33.1395624261685,1.69371850591426,539.029394620925,"3.85548254627689",4299,4299
"Chinese Taipei","erea","adClickTotal_d_clicked + itsex","1","BOY",783,36676.427787,66.8604375738315,1.69371850591427,533.352676409388,"3.42106668020449",4299,4299
"United States","erea","adClickTotal_d_clicked + itsex","0","GIRL",1849,1597139.158347,51.3644898872327,0.73858528018012,562.647646912882,"2.78104828088717",4090,4088
"United States","erea","adClickTotal_d_clicked + itsex","0","BOY",1697,1512283.639102,48.6355101127673,0.73858528018013,555.595097191834,"2.85578876615008",4090,4088
"United States","erea","adClickTotal_d_clicked + itsex","1","GIRL",212,189427.787469,40.4208733212327,2.35932330397811,532.812290888565,"6.45593810212892",4090,4088
"United States","erea","adClickTotal_d_clicked + itsex","1","BOY",330,279210.744815,59.5791266787673,2.35932330397811,542.764559796147,"8.18235576318045",4090,4088
