"IDCNTRY","EqVar","groupA","groupB","pctA","pctAse","pctB","pctBse","diffAB","covAB","diffABse","diffABpValue","dofAB","n0A","n0B","nUsedA","nUsedB"
"Abu Dhabi, UAE","en11tadz_d_clicked","GIRL","BOY",52.9934115217399,3.23248297495311,47.0065884782601,3.23248297495311,5.98682304347982,-10.4489461833617,6.46496594990622,0.357222918989377,79.6270956661049,3980,3980,1603,1406
"Dubai, UAE","en11tadz_d_clicked","GIRL","BOY",50.3060769819499,3.2268155053788,49.6939230180501,3.2268155053788,0.61215396389975,-10.4123383057531,6.45363101075761,0.925085718477097,28.8804816747459,7521,7521,3161,3105
"United Arab Emirates","en11tadz_d_clicked","GIRL","BOY",52.9753459945957,1.91940459967465,47.0246540054043,1.91940459967465,5.95069198919147,-3.6841140172522,3.8388091993493,0.125630093429363,69.8055836474143,15648,15648,6487,5935
"Canada","en11tadz_d_clicked","GIRL","BOY",50.8736130374461,0.925693793343958,49.1263869625538,0.925693793343958,1.7472260748923,-0.856908999035527,1.85138758668792,0.348374397031417,73.9978353299073,9154,9154,4119,3890
"Denmark","en11tadz_d_clicked","GIRL","BOY",52.4227665683525,0.968534116615601,47.5772334316475,0.968534116615603,4.84553313670508,-0.938058335048364,1.9370682332312,0.0135109496707146,141.019262729619,2506,2506,1177,1081
"Georgia","en11tadz_d_clicked","GIRL","BOY",50.3157027724869,0.936496626319578,49.6842972275131,0.936496626319576,0.631405544973752,-0.877025931107949,1.87299325263915,0.73659045722434,126.926784842903,5557,5557,2297,2320
"Ireland","en11tadz_d_clicked","GIRL","BOY",51.7834037877183,1.66648393430992,48.2165962122817,1.66648393430993,3.5668075754366,-2.77716870331308,3.33296786861985,0.287877556502949,77.3030610782851,2473,2473,1139,1086
"Israel","en11tadz_d_clicked","GIRL","BOY",52.8287451884438,1.33317521287049,47.1712548115562,1.33317521287049,5.6574903768876,-1.77735614821227,2.66635042574098,0.0376182887204819,65.8896175142432,3798,3798,1678,1511
"Italy","en11tadz_d_clicked","GIRL","BOY",49.8587927692944,0.952102120922329,50.1412072307056,0.952102120922324,-0.282414461411179,-0.906498448664793,1.90420424184465,0.882353195842919,116.741740051384,3767,3767,1649,1656
"Norway (5th Grade)","en11tadz_d_clicked","GIRL","BOY",52.3200092643327,1.19966231603458,47.6799907356673,1.19966231603459,4.64001852866533,-1.43918967251347,2.39932463206917,0.0574492383377432,65.5116533485946,3610,3610,1652,1509
"Portugal","en11tadz_d_clicked","GIRL","BOY",51.2095473519507,0.887672549952705,48.7904526480494,0.8876725499527,2.4190947039013,-0.787962555939533,1.77534509990541,0.175661531706644,115.342526468562,4558,4558,2081,1996
"Singapore","en11tadz_d_clicked","GIRL","BOY",52.2261412718145,0.679626884503855,47.7738587281855,0.679626884503859,4.45228254362893,-0.461892702140419,1.35925376900771,0.00139623781588072,114.340084199056,6320,6320,2870,2566
"Slovenia","en11tadz_d_clicked","GIRL","BOY",50.2834895234951,0.901999913392857,49.7165104765049,0.901999913392851,0.566979046990127,-0.813603843760715,1.80399982678571,0.754042512399274,88.2618602060405,4303,4303,1989,1941
"Sweden","en11tadz_d_clicked","GIRL","BOY",49.5366570897721,1.11912449943817,50.4633429102279,1.11912449943817,-0.926685820455731,-1.25243964524273,2.23824899887634,0.680057819813967,73.8311243658271,3879,3879,1839,1767
"Chinese Taipei","en11tadz_d_clicked","GIRL","BOY",53.7820849041868,0.956202347557693,46.2179150958132,0.956202347557695,7.56416980837356,-0.914322929474845,1.91240469511539,0.000131117382773382,117.527656963889,4299,4299,1661,1470
"United States","en11tadz_d_clicked","GIRL","BOY",51.3644898872327,0.738585280180123,48.6355101127673,0.738585280180126,2.72897977446542,-0.545508216098753,1.47717056036025,0.0665637193002189,157.167669006473,4090,4090,1849,1697
