"IDCNTRY","YVar","EqVar","EqVarValue","N","WTD_N","PCT","SE_PCT","MEAN","SE_MEAN","n0","nUsed"
"Abu Dhabi, UAE","erea","adClickSituation","0_0",2902,19577.721067,71.4682212162185,1.25065120596449,456.226740312326,4.30417601040084,3980,3980
"Abu Dhabi, UAE","erea","adClickSituation","0_1",250,1736.628016,6.339538437238,0.458700931002596,390.451533080535,9.11340554385876,3980,3980
"Abu Dhabi, UAE","erea","adClickSituation","0_NA",56,321.291413,1.17287020795593,0.48499845973576,416.411278211226,14.6140905960798,3980,3980
"Abu Dhabi, UAE","erea","adClickSituation","1_0",425,3254.724295,11.8813295539768,0.719630119699166,379.549471288474,6.8435564719162,3980,3980
"Abu Dhabi, UAE","erea","adClickSituation","1_1",264,2139.972806,7.81194345207492,0.53387757879228,326.4877142301,6.67494839037755,3980,3980
"Abu Dhabi, UAE","erea","adClickSituation","1_NA",25,165.285952,0.603374261030852,0.250360347046306,327.926514539636,16.3956219662443,3980,3980
"Abu Dhabi, UAE","erea","adClickSituation","NA_0",51,163.170589,0.595652155361902,0.301654292826591,445.06229983696,18.0804374583224,3980,3980
"Abu Dhabi, UAE","erea","adClickSituation","NA_1",7,34.809248,0.127070716143134,0.108428796602745,451.387170879794,51.5529864843526,3980,3980
"Dubai, UAE","erea","adClickSituation","0_0",6216,18209.586761,84.5035504073299,0.569285307296843,536.668796898892,1.4152623007809,7521,7471
"Dubai, UAE","erea","adClickSituation","0_1",404,1133.979433,5.26235380489922,0.311718643951058,513.900604231628,5.26135607867416,7521,7471
"Dubai, UAE","erea","adClickSituation","0_NA",43,111.634039,0.518049792432098,0.169524573746566,486.615088865268,27.489939401111,7521,7471
"Dubai, UAE","erea","adClickSituation","1_0",518,1392.898329,6.46389485394743,0.383380172814732,470.376967381952,6.20985741381747,7521,7471
"Dubai, UAE","erea","adClickSituation","1_1",268,648.492681999999,3.0094002000934,0.241706152811133,438.507196961978,9.55642848938778,7521,7471
"Dubai, UAE","erea","adClickSituation","1_NA",12,27.08816,0.125705526657218,0.036596905140512,428.328201852192,26.1731326657231,7521,7471
"Dubai, UAE","erea","adClickSituation","NA_0",7,17.890048,0.0830206963397631,0.0428952585899482,469.27603190477,35.2428443112482,7521,7471
"Dubai, UAE","erea","adClickSituation","NA_1",2,5.29421799999999,0.0245683893600793,0.0177445924049217,355.691556181712,74.8062918329571,7521,7471
